"Fit parameters produced by simultaneous optimization of 4 psuedo-Voigt peaks over the Hap quadruplet. Io is the total integrated intensity, mu is the mean position (peak center), fg is the Gaussian component of the peak width, fl is the Lorentzian component of the peak width. See methods section ref  6 and Supplemental Text 1.4.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
reflection,'121','121','121','121','112','112','112','112','030','030','030','030','022','022','022','022'
variable,Io,mu,fg,fl,Io,mu,fg,fl,Io,mu,fg,fl,Io,mu,fg,fl
units,[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta],[2theta*a.u.],[2theta],[2theta],[2theta]
pattern_ID,,,,,,,,,,,,,,,,
112,5202.190278,14.84959088,0.092107465,0.038960948,127.4201261,15.155,0.15,0.15,12841.88237,15.36488456,0.08696943,0.057175785,0.0001,15.85507015,0.023371815,0.023371815
113,5151.324078,14.84746791,0.096452361,0.037788673,240.3293914,15.155,0.15,0.15,12497.41642,15.3666282,0.088685839,0.055360468,0.000100224,16.005,0.023372698,0.15
114,6665.059584,14.84694225,0.091701038,0.043284222,268.1908064,15.155,0.15,0.15,12310.11308,15.36487133,0.087386627,0.05395056,0.000100012,16.005,0.023375721,0.15
115,7209.731805,14.84848645,0.088462466,0.041971555,278.6122869,15.01255091,0.15,0.15,9888.638639,15.36093124,0.087152011,0.05210553,5.162879568,15.93053534,0.023371815,0.023371815
116,7414.612886,14.84870494,0.085542059,0.049509537,201.9714691,15.04994314,0.149835663,0.149992394,7903.867183,15.36140311,0.083867104,0.05523835,6.093829166,15.90386065,0.133192783,0.14982519
117,8363.610081,14.84888901,0.088563773,0.041700704,341.10443,15.0434959,0.149999457,0.04490907,6227.114039,15.35863686,0.083289077,0.050602064,63.34867646,15.91286389,0.059318382,0.023621158
118,8127.397177,14.85082227,0.083654931,0.045331323,667.8093708,15.07105519,0.023371826,0.100566149,5574.050819,15.36183567,0.088951189,0.042047586,311.0673307,15.91922399,0.074192985,0.023371825
119,6997.356078,14.852088,0.082828492,0.039728694,1222.967142,15.06609793,0.060864113,0.060896407,6280.288342,15.36158838,0.086566996,0.044229146,559.9961961,15.91729341,0.079590679,0.023371818
120,5230.666138,14.85113137,0.08811936,0.0339535,740.8909446,15.05819373,0.023372051,0.107557343,9562.924383,15.3582482,0.085046566,0.049439562,304.2853792,15.91654518,0.077250982,0.023371815
121,5771.062124,14.85097098,0.089993627,0.039478604,728.3007397,15.06768332,0.023371889,0.105069893,10409.11894,15.36136042,0.083952291,0.052031858,113.2175206,15.92166246,0.059671908,0.023371815
