Fit quality and calculated crystallographic parameters for each pattern in the diffraction map of sample 1.,,,,,
,,,,,
variable,R^2,CLAA,s121,a,c
units,[a.u],[a.u.],[\AA],[\AA],[\AA]
pattern_ID,,,,,
350,0.999703698,4.701756976,461.6781072,9.454212026,6.88253134
351,0.999752063,4.430906005,446.0597243,9.453875092,6.886539358
352,0.999628705,4.963720086,412.6758591,9.451951787,6.895743452
353,0.999726469,4.974432051,393.8665095,9.452980194,6.893527808
354,0.999751689,4.811554826,410.7532246,9.454579106,6.884214742
355,0.999648325,1.969644609,436.3973858,9.455456732,6.886263617
356,0.999676068,3.202628179,424.8113632,9.453404943,6.88378438
357,0.999716557,1.412529476,486.4653533,9.455801197,6.876805466
358,0.999710346,3.003753397,507.3838653,9.454128757,6.884738827
359,0.999770662,3.801228384,467.2150925,9.454053002,6.900404369
360,0.999776492,4.684725328,430.3589865,9.453801732,6.897970102
361,0.999647203,4.979100063,406.9367134,9.453308464,6.901018147
362,0.999656768,5.484383269,395.817754,9.454569613,6.89628496
363,0.999776686,5.253851531,397.4827481,9.453457288,6.895755929
364,0.999603085,4.974655813,389.5773513,9.454445321,6.886960691
365,0.987032206,1.341855375,644.3436628,9.454475252,6.842877076
366,0.998985938,2.63460849,421.4100751,9.448939608,6.874936349
367,0.99977908,3.004474978,380.6872578,9.450562662,6.882542871
368,0.999791765,2.486469248,437.2969486,9.455029093,6.860616458
369,0.999743215,1.609342975,424.6823138,9.453085757,6.871174169
370,0.999754639,2.596607937,424.231534,9.451957954,6.885669254
371,0.999744794,3.639435602,429.5970675,9.452311584,6.883096438
372,0.999620659,4.580487784,417.0270667,9.45318056,6.877052584
373,0.999754982,4.013244786,418.4063862,9.4535702,6.878662849
374,0.999735443,3.260294723,437.7619788,9.453590168,6.873316204
375,0.999784682,3.744669322,436.0136149,9.452716638,6.87830087
376,0.999682378,3.935198268,420.4296816,9.451687862,6.881884427
377,0.999674386,3.714308544,423.1975275,9.452568923,6.877840285
378,0.999521661,2.024337718,464.255832,9.451915228,6.880071433
379,0.999661801,2.541355543,493.6343183,9.453492957,6.882815197
